stadium,attendance,home_team,away_team,home_goals,away_goals,Home Expected goals(xG),Home Total shots,Home Shots on target,Home Big chances,Home Big chances missed,Home Accurate passes,Home Fouls committed,Home Corners,Home Total shots.,Home Shots off target,Home Shots on target.,Home Blocked shots,Home Hit woodwork,Home Shots inside box,Home Shots outside box,Home Expected goals (xG),Home xG open play,Home xG set play,Home Non-penalty xG,Home xG on target (xGOT),Home Passes,Home Accurate passes,Home Own half,Home Opposition half,Home Accurate long balls,Home Accurate crosses,Home Throws,Home Touches in opposition box,Home Offsides,Home Yellow cards,Home Red cards,Home Tackles won,Home Interceptions,Home Blocks,Home Clearances,Home Keeper saves,Home Duels won,Home Ground duels won,Home Aerial duels won,Home Successful dribbles,Away Expected goals(xG),Away Total shots,Away Shots on target,Away Big chances,Away Big chances missed,Away Accurate passes,Away Fouls committed,Away Corners,Away Total shots.,Away Shots off target,Away Shots on target.,Away Blocked shots,Away Hit woodwork,Away Shots inside box,Away Shots outside box,Away Expected goals (xG),Away xG open play,Away xG set play,Away Non-penalty xG,Away xG on target (xGOT),Away Passes,Away Accurate passes,Away Own half,Away Opposition half,Away Accurate long balls,Away Accurate crosses,Away Throws,Away Touches in opposition box,Away Offsides,Away Yellow cards,Away Red cards,Away Tackles won,Away Interceptions,Away Blocks,Away Clearances,Away Keeper saves,Away Duels won,Away Ground duels won,Away Aerial duels won,Away Successful dribbles
MercedesBenz Stadium,"70,564",Argentina,Canada,2,0,3.02,19,9,9,7,547(91%),15,7,19,7,9,3,0,15,4,3.02,2.39,0.64,3.02,2.95,604,547(91%),344,203,35(69%),3(30%),23,37,1,2,0,14(74%),8,4,10,2,40,34(43%),6(60%),6(29%),1.16,10,2,2,2,265(81%),9,4,10,4,2,4,0,6,4,1.16,0.54,0.62,1.16,0.15,327,265(81%),152,113,14(52%),4(44%),10,18,1,2,0,16(55%),7,4,18,6,50,46(58%),4(40%),5(45%)
ATT Stadium,"43,030",Peru,Chile,0,0,0.75,7,4,1,1,547(91%),18,1,7,2,4,1,0,4,3,0.75,0.23,0.52,0.75,1.02,274,547(91%),82,101,19(33%),4(31%),25,13,2,1,0,18(72%),12,4,18,1,70,49(55%),21(44%),7(35%),1.02,11,1,1,1,265(81%),19,3,11,6,1,4,0,7,4,1.02,0.96,0.06,1.02,0.06,517,265(81%),260,159,24(46%),3(30%),20,22,2,3,0,15(79%),8,1,10,4,67,40(45%),27(56%),5(28%)
Levis Stadium,"29,864",Ecuador,Venezuela,1,2,0.86,9,4,2,2,183(67%),20,3,9,4,4,1,0,4,5,0.86,0.48,0.38,0.86,0.57,252,183(67%),91,87,20(34%),5(29%),19,13,1,2,1,6(33%),10,4,28,3,57,40(48%),17(38%),10(50%),1.69,14,5,4,3,419(81%),14,5,14,5,5,4,0,8,6,1.69,1.00,0.68,1.69,2.20,487,419(81%),173,247,31(62%),5(18%),24,34,3,2,0,10(67%),5,1,19,4,71,43(52%),28(62%),9(60%)
NRG Stadium,"53,763",Mexico,Jamaica,1,0,0.97,20,9,1,1,183(67%),8,7,20,6,9,5,0,9,11,0.97,0.68,0.29,0.97,1.62,520,183(67%),190,236,18(32%),5(23%),22,30,1,0,0,11(61%),11,3,30,4,53,31(46%),22(48%),6(33%),0.51,13,4,0,0,419(81%),7,6,13,5,4,4,0,3,10,0.51,0.32,0.19,0.51,0.34,318,419(81%),143,91,24(38%),5(26%),21,15,3,0,0,13(68%),10,5,35,8,61,37(54%),24(52%),10(67%)
ATT Stadium,"47,873",USA,Bolivia,2,0,2.51,20,8,3,3,178(71%),8,7,20,6,8,6,0,15,5,2.51,2.35,0.17,2.51,3.39,518,178(71%),222,208,30(48%),6(24%),22,35,1,1,0,12(55%),8,1,10,3,55,44(60%),11(50%),7(44%),0.18,6,3,0,0,420(86%),17,1,6,2,3,1,0,0,6,0.18,0.14,0.03,0.18,0.21,342,420(86%),172,102,19(42%),2(17%),28,1,1,3,0,6(43%),16,5,28,6,40,29(40%),11(50%),7(50%)
Hard Rock Stadium,"33,425",Uruguay,Panama,3,1,1.55,20,7,3,3,178(71%),12,9,20,8,7,5,0,12,8,1.55,1.40,0.15,1.55,1.95,392,178(71%),135,180,30(58%),11(41%),23,29,3,0,0,9(45%),7,0,15,2,57,35(48%),22(79%),6(67%),0.56,10,3,1,1,420(86%),9,3,10,7,3,0,0,4,6,0.56,0.33,0.23,0.56,0.94,332,420(86%),127,133,14(31%),0(0%),18,15,1,1,0,9(75%),7,4,23,4,44,38(52%),6(21%),14(67%)
NRG Stadium,"67,059",Colombia,Paraguay,2,1,0.71,11,3,1,0,426(82%),10,3,11,6,3,2,0,9,2,0.71,0.52,0.19,0.71,0.61,529,426(82%),254,185,24(39%),6(32%),13,21,1,1,0,13(62%),6,2,17,2,75,53(55%),22(50%),17(68%),0.81,11,3,3,2,234(74%),18,3,11,6,3,2,0,3,8,0.81,0.46,0.35,0.81,1.26,251,234(74%),99,62,20(34%),3(30%),23,19,2,2,0,11(52%),13,2,21,1,65,43(45%),22(50%),12(52%)
SoFi Stadium,"67,158",Brazil,Costa Rica,0,0,1.71,19,3,1,1,426(82%),13,9,19,12,3,4,1,14,5,1.71,1.56,0.15,1.71,0.97,695,426(82%),220,410,39(75%),5(17%),19,50,3,1,0,18(69%),7,2,7,0,57,47(56%),10(59%),11(58%),0.03,2,0,0,0,234(74%),10,1,2,0,0,2,0,0,2,0.03,0.03,0.01,0.03,0.00,249,234(74%),136,49,15(29%),1(14%),6,2,0,2,0,9(47%),8,4,34,4,44,37(44%),7(41%),6(33%)
Childrens Mercy Park,"15,625",Peru,Canada,0,1,0.81,9,4,1,1,430(83%),17,2,9,3,4,2,0,3,6,0.81,0.66,0.15,0.81,1.00,347,430(83%),120,131,21(38%),1(7%),26,18,3,0,1,19(61%),12,0,11,1,70,50(51%),20(67%),5(26%),1.78,5,2,5,4,274(80%),14,1,5,3,2,0,0,5,0,1.78,1.78,0.00,1.78,1.13,363,274(80%),128,154,20(41%),5(31%),14,20,1,1,0,9(35%),2,1,29,4,58,48(49%),10(33%),5(29%)
MetLife Stadium,"81,106",Chile,Argentina,0,1,0.12,3,3,0,0,430(83%),12,0,3,0,3,0,0,1,2,0.12,0.12,0.00,0.12,0.13,355,430(83%),156,117,19(37%),0(0%),21,7,1,2,0,13(59%),6,6,17,8,50,43(48%),7(41%),12(55%),2.72,22,9,5,4,274(80%),9,11,22,7,9,6,2,14,8,2.72,1.33,1.38,2.72,3.64,551,274(80%),240,242,14(48%),5(33%),17,31,1,0,0,19(79%),8,0,7,3,57,47(52%),10(59%),11(50%)
