Date,Team1,Team2,Score (Team1 - Team2),FullTimeResult,Venue,City,Attendance,Goal Scorers Team 1,Goal Scorers Team 2,Team 1 Possession percentage,Team 2 Possession percentage,Team 1 Shots on Goal,Team 2 Shots on Goal,Team 1 Shot Attempts,Team 2 Shot Attempts,Team 1 Yellow Cards,Team 2 Yellow Cards,Team 1 Corner Kicks,Team 2 Corner Kicks,Team 1 Saves,Team 2 Saves
2025-12-22,Morocco,Comoros,2 - 0,FT,Stade Prince Moulay Abdallah,Rabat,60180,Brahim Díaz - 55'Ayoub El Kaabi - 74',,69.8,30.2,7,2,16,4,3,1,5,0,2,5
2025-12-22,Mali,Zambia,1 - 1,FT,Mohamed V Stadium,Casablanca,10124,Lassine Sinayoko - 61',Patson Daka - 90'+2',52.9,47.1,5,2,15,7,1,1,6,5,1,4
2025-12-22,South Africa,Angola,2 - 1,FT,Stade de Marrakech,Marrakech,4013,Oswin Appollis - 21'Lyle Foster - 79',Show - 35’,57.5,42.5,4,4,10,10,2,2,1,9,3,2
2025-12-23,Egypt,Zimbabwe,2 - 1,FT,Le Grand Stade Agadir,Agadir,28199,Omar Marmoush - 64'Mohamed Salah - 90'+1',Prince Dube - 20',77.5,22.5,11,3,35,8,2,2,8,3,2,9
2025-12-23,Congo DR,Benin,1 - 0,FT,Stade El Barid,Rabat,13073,"Théo Bongonda - 16'


",,40.1,59.9,3,2,11,12,3,3,5,5,2,2
2025-12-23,Senegal,Botswana,3 - 0,FT,Ibn Batouta Stadium,Tanger,18591,"Nicolas Jackson - 40', 58'Cherif Ndiaye - 90'",,67.8,32.2,17,0,28,4,1,2,7,2,0,14
2025-12-23,Nigeria,Tanzania,2 - 1,FT,Complexe Sportif de Fès,Fès,11444,Semi Ajayi - 36'Ademola Lookman - 52',Charles M'Mombwa - 50',59.1,40.9,11,3,21,11,1,0,6,6,2,8
2025-12-24,Tunisia,Uganda,3 - 1,FT,Stade Olympique de Rabat,Rabat,13387,"Ellyes Skhiri - 10'Elias Achouri - 40', 64'",Denis Omedi - 90'+2',48.8,51.2,6,1,15,9,1,2,8,2,0,3
2025-12-24,Burkina Faso,Equatorial Guinea,2 - 1,FT,Mohamed V Stadium,Casablanca,10267,Georgi Minoungou - 90'+5'Edmond Tapsoba - 90'+8',Marvin Anieboh - 85',66.8,33.2,5,1,16,5,1,1,9,3,0,3
2025-12-24,Algeria,Sudan,3 - 0,FT,Stade Prince Moulay Al Hassan,Rabat,16115,"Riyad Mahrez - 2', 61'Ibrahim Maza - 85'",,58,42,7,2,14,5,0,1,11,1,2,4
