team_name,country_code,confederation,fifa_rank,fifa_points,wins_last_10_matches,losses_last_10_matches,draws_last_10_matches,win_rate_last_year,goals_scored_avg,goals_conceded_avg,clean_sheets_last_10,shots_per_game,shots_on_target_ratio,avg_player_rating,star_players_count,market_value_million_eur,experience_avg_caps,coach_experience_years,recent_form_score,possession_avg,passing_accuracy,host_advantage,travel_distance_avg,climate_similarity_score,winner
Poland,POL,UEFA,18,1675.2,5,4,1,0.52,1.11,0.91,3,11.3,0.34,75.0,3,256.0,26,10,6.5,47.3,76.8,0,6.2,0.61,1
Brazil,BRA,CONMEBOL,8,1831.2,7,2,1,0.69,2.31,0.76,5,19.2,0.502,86.2,4,1174.0,53,25,8.2,55.2,87.4,0,6.7,0.7,1
Netherlands,NED,UEFA,6,1769.3,6,2,2,0.585,1.85,0.62,3,15.9,0.472,85.3,3,741.0,49,12,7.2,56.3,88.4,0,8.0,0.61,1
Germany,DEU,UEFA,17,1663.4,7,1,2,0.584,1.4,1.09,2,15.6,0.453,83.2,3,593.0,43,16,8.1,57.5,80.6,0,6.2,0.55,0
Nigeria,NGA,CAF,28,1476.6,3,5,2,0.39,0.95,1.97,2,6.2,0.319,70.8,0,236.0,21,1,3.1,45.1,72.5,0,8.6,0.48,0
Austria,AUT,UEFA,24,1565.0,3,3,4,0.561,1.13,1.42,3,10.6,0.315,76.5,2,283.0,44,15,6.6,45.1,79.2,0,5.9,0.49,1
Peru,PER,CONMEBOL,36,1480.8,2,4,4,0.441,0.7,1.7,0,6.7,0.36,71.9,1,290.0,19,1,4.2,46.8,74.5,0,6.2,0.7,0
Argentina,ARG,CONMEBOL,2,1919.4,8,2,0,0.68,2.31,0.82,5,17.5,0.502,83.1,5,1105.0,59,14,7.5,64.0,94.4,0,4.6,0.64,0
Mexico,MEX,CONCACAF,14,1550.3,6,3,1,0.511,1.37,0.97,4,13.8,0.367,80.2,3,352.0,27,5,6.2,54.9,82.8,1,2.1,0.72,1
Brazil,BRA,CONMEBOL,8,1847.2,7,1,2,0.78,2.02,0.83,3,17.0,0.427,85.6,5,1060.0,40,23,7.3,59.8,87.4,0,7.9,0.65,0
Germany,DEU,UEFA,18,1766.1,7,1,2,0.589,1.8,0.94,5,15.2,0.373,85.6,2,562.0,40,7,6.5,61.4,85.5,0,7.3,0.74,1
Japan,JPN,AFC,21,1706.0,4,4,2,0.414,1.15,1.27,3,9.7,0.362,77.8,0,505.0,33,13,6.1,51.1,79.2,0,9.5,0.51,1
Brazil,BRA,CONMEBOL,8,1934.4,9,1,0,0.718,2.18,0.46,5,16.8,0.481,85.0,4,1130.0,56,17,9.5,59.7,90.2,0,7.1,0.6,1
Spain,ESP,UEFA,7,1810.4,9,0,1,0.753,2.12,0.88,5,16.6,0.412,83.2,3,740.0,48,19,8.2,57.3,87.5,0,7.2,0.66,0
Sweden,SWE,UEFA,18,1644.6,3,3,4,0.484,1.17,1.05,1,9.6,0.341,71.7,2,262.0,38,6,4.5,45.2,83.1,0,6.4,0.59,1
Morocco,MAR,CAF,30,1610.7,3,5,2,0.537,1.43,1.46,2,9.1,0.37,80.6,2,422.0,25,3,6.4,54.0,83.2,0,9.6,0.31,1
Germany,DEU,UEFA,17,1667.0,7,3,0,0.661,1.71,1.01,3,16.1,0.387,79.8,2,589.0,45,17,5.6,55.0,85.5,0,6.7,0.62,0
Australia,AUS,AFC,34,1704.8,3,5,2,0.536,1.52,0.97,2,13.5,0.361,79.8,2,339.0,43,3,4.2,55.5,78.5,0,13.7,0.54,1
Qatar,QAT,AFC,32,1458.6,1,7,2,0.253,1.26,1.98,2,6.5,0.289,70.4,2,210.0,17,7,3.9,47.1,76.9,0,13.0,0.6,0
Brazil,BRA,CONMEBOL,2,1797.9,6,1,3,0.766,2.66,0.93,3,19.7,0.548,88.3,4,1054.0,58,19,8.7,60.5,86.1,0,6.0,0.55,1
Qatar,QAT,AFC,36,1548.8,3,4,3,0.441,0.8,1.49,0,7.1,0.355,70.1,0,208.0,35,6,5.2,49.2,77.0,0,8.5,0.36,0
Ecuador,ECU,CONMEBOL,21,1709.1,6,3,1,0.421,1.23,0.92,4,11.3,0.342,78.1,1,542.0,41,11,4.9,54.0,76.6,0,7.6,0.76,0
Croatia,CRO,UEFA,6,1664.9,6,2,2,0.558,1.42,0.83,2,14.4,0.478,81.6,3,602.0,51,17,5.7,50.4,80.1,0,5.3,0.66,0
England,ENG,UEFA,2,1966.9,6,0,4,0.691,2.05,0.56,6,15.4,0.501,87.3,5,757.0,65,9,8.4,65.8,93.2,0,8.9,0.48,1
Ivory Coast,CIV,CAF,50,1551.0,1,5,4,0.401,1.22,1.82,1,7.8,0.303,72.7,2,216.0,16,4,3.9,44.5,73.0,0,9.1,0.46,1
Italy,ITA,UEFA,9,1826.4,5,2,3,0.586,1.86,0.8,4,12.6,0.367,80.1,3,729.0,38,12,7.6,54.9,85.2,0,8.9,0.63,1
Argentina,ARG,CONMEBOL,2,1818.9,6,1,3,0.757,2.16,0.94,3,17.0,0.504,83.3,3,941.0,61,22,8.5,57.0,85.0,0,7.5,0.57,1
Argentina,ARG,CONMEBOL,4,1861.2,9,1,0,0.662,1.95,0.48,5,19.4,0.477,86.7,3,1134.0,45,10,8.2,56.4,86.8,0,6.3,0.76,1
Turkey,TUR,UEFA,40,1518.7,4,5,1,0.362,0.88,1.78,1,8.9,0.324,73.0,2,268.0,19,6,3.5,46.1,75.0,0,6.3,0.73,1
Serbia,SRB,UEFA,35,1697.3,5,4,1,0.404,1.49,1.5,2,11.0,0.416,80.1,2,543.0,30,5,6.5,52.9,79.8,0,8.4,0.51,1
Qatar,QAT,AFC,47,1448.5,3,4,3,0.392,0.57,1.71,2,8.4,0.295,70.4,1,282.0,19,7,3.9,42.0,70.9,0,8.8,0.3,1
Nigeria,NGA,CAF,32,1566.1,4,5,1,0.433,1.29,1.41,2,6.3,0.324,74.0,0,225.0,23,5,2.7,41.6,78.1,0,9.7,0.41,0
South Korea,KOR,AFC,19,1599.4,6,3,1,0.493,1.21,1.32,3,11.9,0.343,76.7,2,413.0,32,10,5.9,46.3,81.3,0,10.0,0.35,0
China,CHN,AFC,33,1550.5,1,4,5,0.386,0.53,1.77,1,8.5,0.326,70.7,0,220.0,18,8,4.7,45.0,74.9,0,10.5,0.57,0
Uruguay,URU,CONMEBOL,15,1712.2,7,2,1,0.608,1.58,0.85,3,16.7,0.37,83.1,3,490.0,35,19,7.7,57.1,89.2,0,7.2,0.56,1
Morocco,MAR,CAF,25,1705.6,4,4,2,0.425,1.17,0.92,4,9.6,0.411,80.1,3,318.0,39,7,5.1,53.2,82.9,0,9.4,0.28,0
Jamaica,JAM,CONCACAF,34,1469.4,2,6,2,0.347,0.53,2.11,1,6.9,0.29,72.9,0,265.0,25,6,2.8,42.1,79.8,0,1.6,0.84,0
Serbia,SRB,UEFA,34,1593.9,6,4,0,0.441,1.13,0.83,2,13.2,0.37,76.1,3,386.0,26,8,5.3,49.4,76.6,0,5.7,0.71,1
Wales,WAL,UEFA,41,1505.3,1,6,3,0.239,1.07,1.86,0,8.8,0.256,71.4,2,204.0,29,5,2.6,46.5,71.0,0,6.0,0.67,1
Senegal,SEN,CAF,34,1697.2,5,3,2,0.547,1.59,0.89,3,11.9,0.351,80.2,3,437.0,35,12,6.5,49.0,83.3,0,8.4,0.48,1
Canada,CAN,CONCACAF,49,1556.0,1,5,4,0.322,1.22,2.0,0,8.4,0.292,75.2,1,314.0,21,9,5.0,48.3,75.3,1,0.9,0.77,0
France,FRA,UEFA,1,1889.4,9,2,0,0.652,1.94,0.94,5,17.6,0.49,87.7,5,987.0,56,21,7.1,57.2,85.8,0,7.4,0.52,1
Germany,DEU,UEFA,5,1779.9,8,3,0,0.631,1.93,1.16,2,14.4,0.385,82.8,4,688.0,45,5,7.0,57.2,87.7,0,5.4,0.47,1
Belgium,BEL,UEFA,7,1664.0,8,3,0,0.551,1.48,0.79,4,16.6,0.368,85.7,4,659.0,46,18,8.4,59.1,87.6,0,7.9,0.64,1
France,FRA,UEFA,3,1997.3,6,1,3,0.659,2.39,1.0,4,17.4,0.537,83.2,3,1066.0,58,23,7.3,60.5,92.5,0,5.2,0.59,1
Portugal,POR,UEFA,17,1663.9,5,3,2,0.673,1.45,0.79,2,14.7,0.436,84.2,2,804.0,44,16,6.2,50.3,80.2,0,8.5,0.61,0
Argentina,ARG,CONMEBOL,4,1791.6,6,0,4,0.746,2.43,0.92,3,18.6,0.463,84.7,2,1066.0,56,10,8.4,58.9,92.2,0,6.4,0.62,0
Netherlands,NED,UEFA,9,1791.5,7,2,1,0.699,2.16,0.88,2,16.9,0.447,79.5,2,710.0,55,7,7.0,52.8,82.2,0,5.7,0.68,0
Poland,POL,UEFA,28,1614.0,6,3,1,0.435,1.28,1.33,2,14.0,0.408,77.2,1,317.0,39,11,5.8,51.4,83.8,0,6.1,0.49,0
Croatia,CRO,UEFA,9,1782.3,6,3,1,0.594,1.98,0.9,3,16.8,0.364,85.3,2,790.0,42,17,6.9,57.1,83.5,0,7.7,0.62,0
Uruguay,URU,CONMEBOL,12,1694.2,7,3,0,0.607,1.59,1.16,5,15.1,0.448,80.1,4,835.0,53,19,8.0,51.5,87.4,0,4.6,0.75,0
Germany,DEU,UEFA,6,1764.1,8,1,1,0.572,1.63,0.61,2,16.8,0.394,83.4,3,751.0,38,8,7.6,50.8,87.1,0,5.3,0.62,1
Netherlands,NED,UEFA,6,1828.2,7,1,2,0.572,2.01,0.61,4,16.1,0.398,84.7,4,723.0,36,18,6.9,61.3,88.5,0,7.1,0.7,1
Algeria,ALG,CAF,30,1590.2,4,7,0,0.383,1.23,2.06,1,9.8,0.282,72.2,1,361.0,29,2,2.7,40.3,73.7,0,10.5,0.39,0
Sweden,SWE,UEFA,32,1533.8,5,3,2,0.552,1.44,0.89,1,13.6,0.416,75.3,3,394.0,38,9,4.4,52.5,77.0,0,7.0,0.47,0
Serbia,SRB,UEFA,19,1602.2,4,5,1,0.496,1.42,1.0,1,12.8,0.414,80.4,3,394.0,33,3,4.3,51.3,79.8,0,5.8,0.55,1
Spain,ESP,UEFA,1,1799.3,6,1,3,0.815,2.16,0.59,4,18.1,0.52,84.4,5,1035.0,47,18,7.4,66.7,91.2,0,7.5,0.54,1
Ghana,GHA,CAF,34,1532.2,4,7,0,0.404,0.86,1.84,0,6.8,0.281,75.1,2,317.0,27,3,2.8,49.8,71.8,0,10.2,0.45,0
Spain,ESP,UEFA,6,1853.1,9,0,1,0.78,2.0,0.81,7,16.5,0.431,88.9,3,1134.0,65,12,8.0,59.8,85.4,0,8.5,0.62,0
Uruguay,URU,CONMEBOL,10,1767.9,7,3,0,0.705,1.57,0.97,5,16.2,0.381,84.4,3,522.0,46,18,8.4,52.2,84.9,0,5.0,0.77,1
Honduras,HON,CONCACAF,29,1419.1,1,6,3,0.442,0.71,1.86,2,8.9,0.304,72.8,2,282.0,25,10,2.3,41.7,73.4,0,2.6,0.81,1
